AvgVelocity,Velocity Inlet,Mass,PressureDrop,Surface Area,X Cell Size,YZ Cell Size
503.7373747,2500,155.8650042,7313.211948,34714.82646,10,10
551.6023682,2750,155.8650042,8825.514148,34714.82646,10,10
601.3563248,3000,155.8650042,10524.27363,34714.82646,10,10
652.2670799,3250,155.8650042,12418.76201,34714.82646,10,10
701.7506793,3500,155.8650042,14271.51916,34714.82646,10,10
525.220506,2500,144.8624442,7653.516849,31453.78437,10,13.75
574.8653912,2750,144.8624442,9101.417774,31453.78437,10,13.75
627.7650503,3000,144.8624442,10953.7776,31453.78437,10,13.75
680.1888844,3250,144.8624442,12968.55523,31453.78437,10,13.75
730.0174836,3500,144.8624442,14900.75078,31453.78437,10,13.75
559.0813988,2500,137.9667214,7826.761894,29272.22167,10,17.5
614.1390952,2750,137.9667214,9656.312558,29272.22167,10,17.5
667.6622712,3000,137.9667214,11268.2082,29272.22167,10,17.5
725.2771136,3250,137.9667214,13368.0564,29272.22167,10,17.5
780.2706194,3500,137.9667214,15393.46587,29272.22167,10,17.5
547.0067722,2500,133.3890654,7060.011719,28666.35305,10,21.25
600.0358681,2750,133.3890654,8515.013235,28666.35305,10,21.25
654.6826959,3000,133.3890654,10170.86299,28666.35305,10,21.25
707.8376969,3250,133.3890654,11887.80962,28666.35305,10,21.25
755.2453818,3500,133.3890654,13881.16933,28666.35305,10,21.25
522.7908613,2500,129.6952859,5431.029112,27542.61156,10,25
573.0674471,2750,129.6952859,6503.724192,27542.61156,10,25
626.5268722,3000,129.6952859,7808.76341,27542.61156,10,25
679.2426039,3250,129.6952859,8915.800004,27542.61156,10,25
732.3911854,3500,129.6952859,10594.29596,27542.61156,10,25
463.155663,2500,150.256433,4841.364389,33066.57054,13.75,10
511.1415233,2750,150.256433,5893.357606,33066.57054,13.75,10
556.6985335,3000,150.256433,6966.4224,33066.57054,13.75,10
602.5809892,3250,150.256433,8103.914335,33066.57054,13.75,10
648.0233336,3500,150.256433,9306.984647,33066.57054,13.75,10
468.8848261,2500,140.6582638,4909.105216,28966.09774,13.75,13.75
521.0544398,2750,140.6582638,5887.202639,28966.09774,13.75,13.75
567.7728198,3000,140.6582638,7027.010922,28966.09774,13.75,13.75
614.0060918,3250,140.6582638,8214.04431,28966.09774,13.75,13.75
658.5655262,3500,140.6582638,9519.490613,28966.09774,13.75,13.75
516.6379371,2500,134.1496085,6158.111416,26444.10148,13.75,17.5
576.2341365,2750,134.1496085,7566.427589,26444.10148,13.75,17.5
624.0380252,3000,134.1496085,8851.017549,26444.10148,13.75,17.5
674.7563178,3250,134.1496085,10575.90402,26444.10148,13.75,17.5
730.7536887,3500,134.1496085,12230.94409,26444.10148,13.75,17.5
519.9936598,2500,129.5313538,6136.799557,25643.00764,13.75,21.25
574.3660199,2750,129.5313538,7324.652072,25643.00764,13.75,21.25
621.8815351,3000,129.5313538,8849.589533,25643.00764,13.75,21.25
672.7052413,3250,129.5313538,10167.10319,25643.00764,13.75,21.25
725.8724085,3500,129.5313538,11867.48154,25643.00764,13.75,21.25
531.7354011,2500,126.129981,5922.483364,24267.24485,13.75,25
586.7006845,2750,126.129981,7196.417211,24267.24485,13.75,25
639.710445,3000,126.129981,8571.564774,24267.24485,13.75,25
693.2182259,3250,126.129981,10000.62034,24267.24485,13.75,25
743.9216964,3500,126.129981,11981.53275,24267.24485,13.75,25
446.5431083,2500,146.5901373,4374.088153,32382.17106,17.5,10
495.8041903,2750,146.5901373,5442.356304,32382.17106,17.5,10
535.0109287,3000,146.5901373,6168.218322,32382.17106,17.5,10
581.4601756,3250,146.5901373,7454.012205,32382.17106,17.5,10
624.7773027,3500,146.5901373,8467.105935,32382.17106,17.5,10
449.1175644,2500,137.2408541,4291.129548,28045.26866,17.5,13.75
493.6428659,2750,137.2408541,5173.534204,28045.26866,17.5,13.75
540.1308881,3000,137.2408541,6264.801481,28045.26866,17.5,13.75
585.1038619,3250,137.2408541,7416.043804,28045.26866,17.5,13.75
625.421305,3500,137.2408541,8410.521067,28045.26866,17.5,13.75
486.6887433,2500,131.0008454,4788.425742,24876.04477,17.5,17.5
536.6999707,2750,131.0008454,5872.996055,24876.04477,17.5,17.5
584.6592128,3000,131.0008454,6968.061703,24876.04477,17.5,17.5
634.2432373,3250,131.0008454,8152.695235,24876.04477,17.5,17.5
681.3536914,3500,131.0008454,9454.517355,24876.04477,17.5,17.5
498.5193727,2500,126.815688,5114.224716,24024.42847,17.5,21.25
549.0429038,2750,126.815688,6155.894026,24024.42847,17.5,21.25
600.1565565,3000,126.815688,7410.499495,24024.42847,17.5,21.25
649.9027825,3250,126.815688,8665.970344,24024.42847,17.5,21.25
699.0091233,3500,126.815688,10030.04796,24024.42847,17.5,21.25
499.8613769,2500,123.6691657,3957.100338,22375.01393,17.5,25
550.0059172,2750,123.6691657,4766.874942,22375.01393,17.5,25
601.4656242,3000,123.6691657,5761.309546,22375.01393,17.5,25
649.8484082,3250,123.6691657,6768.433244,22375.01393,17.5,25
696.5296087,3500,123.6691657,7656.04328,22375.01393,17.5,25
427.3892603,2500,143.5558166,3893.865963,32221.79203,21.25,10
470.5052013,2750,143.5558166,4714.173255,32221.79203,21.25,10
512.1877403,3000,143.5558166,5615.673216,32221.79203,21.25,10
555.670812,3250,143.5558166,6532.494442,32221.79203,21.25,10
600.2698683,3500,143.5558166,7632.115341,32221.79203,21.25,10
433.4047262,2500,134.9471071,3804.145017,27044.46167,21.25,13.75
473.0459012,2750,134.9471071,4599.84066,27044.46167,21.25,13.75
519.6670727,3000,134.9471071,5558.053172,27044.46167,21.25,13.75
562.6095758,3250,134.9471071,6551.595655,27044.46167,21.25,13.75
604.9150137,3500,134.9471071,7729.510961,27044.46167,21.25,13.75
457.2678966,2500,128.6388998,4492.079272,24317.50748,21.25,17.5
503.0227278,2750,128.6388998,5371.387069,24317.50748,21.25,17.5
547.5581678,3000,128.6388998,6451.870161,24317.50748,21.25,17.5
596.243523,3250,128.6388998,7589.939249,24317.50748,21.25,17.5
641.1693624,3500,128.6388998,8879.467565,24317.50748,21.25,17.5
459.38349,2500,124.8258542,4406.286264,23121.19334,21.25,21.25
508.0653716,2750,124.8258542,5431.1717,23121.19334,21.25,21.25
551.1394595,3000,124.8258542,6354.881549,23121.19334,21.25,21.25
596.9123408,3250,124.8258542,7582.246074,23121.19334,21.25,21.25
644.2438347,3500,124.8258542,8783.71704,23121.19334,21.25,21.25
500.7408919,2500,121.8210483,4409.616993,21473.49549,21.25,25
547.2280361,2750,121.8210483,5311.760669,21473.49549,21.25,25
606.9251389,3000,121.8210483,6334.810226,21473.49549,21.25,25
647.3203908,3250,121.8210483,7462.60955,21473.49549,21.25,25
701.7638907,3500,121.8210483,8685.404481,21473.49549,21.25,25
418.5867582,2500,141.0263122,3723.793202,32006.19475,25,10
455.6874477,2750,141.0263122,4473.570118,32006.19475,25,10
503.5189358,3000,141.0263122,5381.514109,32006.19475,25,10
544.9786367,3250,141.0263122,6418.430368,32006.19475,25,10
586.4514832,3500,141.0263122,7375.807311,32006.19475,25,10
424.0618224,2500,132.5473496,3789.331973,27180.73782,25,13.75
463.5288445,2750,132.5473496,4448.73525,27180.73782,25,13.75
508.7481185,3000,132.5473496,5472.480022,27180.73782,25,13.75
552.4883267,3250,132.5473496,6373.265955,27180.73782,25,13.75
594.1758742,3500,132.5473496,7402.02575,27180.73782,25,13.75
444.2150525,2500,127.0233504,3949.254859,23824.29861,25,17.5
482.7431757,2750,127.0233504,4835.325268,23824.29861,25,17.5
525.0003906,3000,127.0233504,5622.55049,23824.29861,25,17.5
568.5156881,3250,127.0233504,6518.284146,23824.29861,25,17.5
